drug,condition,rating,side_effects,helped,sentiment
Phentermine,Weight Loss,10,"['jitteriness', 'tremors', 'excessive sweating']",True,positive
Desvenlafaxine,Depression,10,"['weight gain', 'feeling awful', 'despair']",True,positive
Leuprolide,Endometriosis,8,"['hot flashes', 'mood swings']",True,positive
Zyclara,Keratosis,7,"['hives', 'severe diarrhea', 'cold/flu', 'headache', 'joint soreness']",False,negative
Diphenhydramine,Allergic Reactions,10,[],True,positive
Progesterone,Perimenopausal Symptoms,9,[],,neutral
Ethinyl estradiol / norethindrone,Birth Control,10,['extreme sleepiness'],True,positive
Lansoprazole,Erosive Esophagitis,10,[],True,positive
Etanercept,Rheumatoid Arthritis,8,"['injection pain', 'local injection site reaction']",True,positive
Silenor,Insomnia,10,"['insomnia', 'intolerance to Lunesta', 'intolerance to Ambien', 'exhaustion', 'emotional instability', 'crying', 'sleep deprivation']",True,positive
Augmentin,4</span> users found this comment helpful.,2,"['nausea', 'diarrhea', 'exhaustion', 'heart palpitations', 'itching', 'malaise']",False,negative
Pradaxa,Prevention of Thromboembolism in Atrial Fibrillation,9,"['acid reflux', 'yeast infections', 'fungal infections', 'joint aches', 'vein pain']",True,mixed
Levonorgestrel,Emergency Contraception,1,"['severe cramps', 'delayed menstruation']",False,negative
Implanon,Birth Control,9,"['weight gain', 'water retention', 'implant site pinching sensation']",True,positive
BuSpar,Anxiety,9,"['brain zapping (from previous medications Paxil and Lexapro)', 'increased hunger', 'minor dizziness']",True,positive
Formoterol / mometasone,moterol / mometasone),5,"['sinusitis', 'migraine']",True,mixed
Lubiprostone,Irritable Bowel Syndrome,8,[],True,positive
Atrovent,"COPD, Maintenance",4,[],,mixed
Belviq,Weight Loss,1,['nervousness'],,positive
Adalimumab,Psoriasis,8,[],True,positive
Clorazepate,Anxiety,10,"['loss of effectiveness', 'anxiety', 'panic attacks']",True,positive
Propofol,Anesthesia,10,['grogginess'],True,positive
Esomeprazole,GERD,1,"['difficulty swallowing', 'stomach noises', 'dry cough', 'lack of energy', 'fatigue']",False,negative
Adderall,Narcolepsy,10,"['ineffectiveness', 'exhaustion', 'frustration']",False,negative
Adapalene / benzoyl peroxide,Acne,4,[],False,mixed
Ziprasidone,Bipolar Disorde,10,"['memory loss', 'forgetfulness', 'difficulty recalling past events']",True,mixed
Nortriptyline,Migraine Prevention,10,[],True,positive
Efavirenz / emtricitabine / tenofovir,HIV Infection,10,"['hallucinations', 'insomnia']",True,positive
Vyvanse,ADHD,9,['irritability'],True,positive
Asenapine,Schizophrenia,8,['somnolence'],True,positive
Belviq,Weight Loss,10,['dry mouth'],True,positive
Lialda,Ulcerative Colitis,8,[],True,mixed
Sertraline,Social Anxiety Disorde,8,"['increased alcohol sensitivity/sedation with alcohol', 'decreased appetite', 'weight loss', 'decreased libido', 'withdrawal symptoms: cold sweats', 'withdrawal symptoms: tremors', 'withdrawal symptoms: suicidal ideation', 'withdrawal symptoms: dizziness', 'withdrawal symptoms: increased anxiety']",True,positive
Lo Loestrin Fe,Birth Control,9,[],True,positive
Beyaz,Birth Control,8,"['weight gain', 'increased appetite']",True,mixed
Clindamycin,Acne,9,[],True,positive
Nortrel 1 / 35,0</span> users found this comment helpful.,2,"['acne worsening', 'dry eyes', 'blurred vision', 'vision problems']",False,negative
Alprazolam,Anxiety,10,"['pruritus', 'paresthesia', 'agitation', 'insomnia', 'restlessness', 'poor concentration']",True,positive
Implanon,Birth Control,3,"['heavy periods', 'prolonged menstruation', 'irregular menstrual cycle', 'weight gain']",False,negative
Escitalopram,Generalized Anxiety Disorde,10,[],True,positive
Azithromycin,Upper Respiratory Tract Infection,10,[],True,positive
Alprazolam,Anxiety,9,"['tolerance buildup', 'short duration of effect']",True,positive
Escitalopram,Anxiety,10,[],True,positive
Synvisc-One,Osteoarthritis,10,[],True,positive
Copper,Birth Control,8,"['heavy periods', 'strong cramps']",True,positive
Neurontin,Trigeminal Neuralgia,8,[],True,positive
Amitiza,"Constipation, Chronic",8,['constipation'],True,mixed
Ethinyl estradiol / norelgestromin,Birth Control,10,[],True,positive
Trazodone,ibromyalgia,9,[],True,positive
Amitriptyline,Migraine Prevention,10,[],True,positive
Nicotine,Smoking Cessation,2,"['sore throat', 'throat irritation']",,negative
Adalimumab,Psoriatic Arthritis,8,[],True,positive
Trulicity,"Diabetes, Type 2",1,"['nausea', 'headache', 'vomiting', 'loss of appetite', 'diarrhea', 'sulfur burps', 'dysgeusia (bad taste)', 'exhaustion']",False,negative
Norethindrone,Birth Control,1,"['breast soreness', 'acne', 'increased appetite', 'severe cramps', 'heavy menstrual bleeding with clots', 'irregular menstrual cycle']",False,negative
Morphine,Pain,10,[],True,positive
Ethinyl estradiol / etonogestrel,Birth Control,10,[],True,positive
Baclofen,Muscle Spasm,1,[],False,negative
Methadone,Opiate Withdrawal,10,[],True,positive
Levonorgestrel,Birth Control,7,"['light non-stop bleeding', 'hair loss', 'cramping', 'mood swings', 'loss of sex drive']",True,mixed
Drospirenone / ethinyl estradiol,Premenstrual Dysphoric Disorde,1,"['acne', 'abdominal cramping', 'severe abdominal pain', 'prolonged menstrual bleeding']",False,negative
Ethinyl estradiol / norethindrone,Birth Control,10,"['nausea', 'spotting']",True,positive
Forteo,Osteoporosis,10,[],True,positive
Oxycodone,Chronic Pain,8,['painful period during medication switch'],True,positive
Etonogestrel,Birth Control,1,"['weight gain', 'depression', 'anxiety', 'anemia', 'acne', 'ovarian cysts', 'prolonged menstrual bleeding', 'fatigue', 'low energy', 'negative mood']",False,negative
Levonorgestrel,Emergency Contraception,9,"['light cramping', 'breast soreness', 'spotting']",True,positive
Tri-Previfem,Endometriosis,7,[],True,positive
Klonopin,Anxiety,9,[],True,positive
Ortho Tri-Cyclen,Birth Control,1,"['irritability', 'mood swings', 'depression', 'agitation', 'emotional instability']",False,negative
Phentermine / topiramate,Weight Loss,10,['tingling in toes'],True,positive
Acetaminophen / pamabrom,Back Pain,10,[],True,positive
Plan B,Emergency Contraception,1,['delayed menstruation'],False,negative
Montelukast,"Asthma, Maintenance",10,[],True,positive
Levonorgestrel,Birth Control,3,"['severe pain', 'general malaise']",False,negative
Amitriptyline,Pain,8,[],True,positive
Amphetamine / dextroamphetamine,ADHD,10,[],True,positive
Varenicline,Smoking Cessation,9,"['nausea', 'fatigue']",True,positive
Cyclobenzaprine,Muscle Spasm,10,"['drowsiness', 'hangover-like feeling']",True,positive
Nitrofurantoin,Urinary Tract Infection,10,[],True,positive
Delsym,Cough,1,"['bad taste', 'chills', 'extreme nausea', 'diarrhea', 'dizziness']",False,negative
Fentanyl,Pain,9,"['heavy sweating', 'vomiting', 'drowsiness', 'nodding off', 'itching at patch site']",True,positive
Venlafaxine,Depression,1,"['withdrawal symptoms', 'worsening depression', 'increased anxiety', 'suicidal ideation']",False,negative
Mupirocin,Secondary Cutaneous Bacterial Infections,10,[],True,positive
Olanzapine,Major Depressive Disorde,2,"['weight gain', 'increased appetite', 'lethargy', 'fatigue', 'hypersomnia', 'hyperglycemia']",True,negative
Lisdexamfetamine,ADHD,4,"['weight loss', 'emotional lability', 'eye tics']",True,mixed
Trintellix,Depression,10,[],True,positive
Diclofenac,Osteoarthritis,6,"['muscle aches', 'irritability', 'weakness', 'fatigue', 'stomach issues']",True,negative
Ventolin HFA,"COPD, Maintenance",10,[],True,positive
Nexplanon,Birth Control,1,"['emotional instability', 'loss of libido', 'acne', 'anger/irritability', 'bloating', 'mood changes']",False,negative
Victoza,Weight Loss,10,"['difficulty urinating', 'delayed bladder emptying']",True,positive
Omalizumab,"Asthma, Maintenance",10,[],True,positive
Escitalopram,Depression,8,"['yawning', 'morning sleepiness']",True,positive
Etonogestrel,Birth Control,3,"['prolonged bleeding', 'acne', 'recurrent breakouts']",False,negative
Paxil,Panic Disorde,10,[],True,positive
Microgestin Fe 1 / 20,Birth Control,10,['breakthrough bleeding'],True,positive
Bupropion,Smoking Cessation,9,[],True,positive
Klonopin,Anxiety,10,[],True,positive
Atacand,High Blood Pressure,7,[],,neutral
Docosanol,Herpes Simplex,1,[],True,positive
Miconazole,Vaginal Yeast Infection,1,"['insomnia', 'crying', 'burning', 'itching']",False,negative
Bupropion,Depression,10,"['irritability', 'mood instability', 'mental fog', 'sexual dysfunction']",True,positive
Drysol,Hyperhidrosis,10,[],True,positive
Chateal,Birth Control,10,['breast enlargement'],True,positive
Acetaminophen / butalbital,Headache,9,"['sleepiness', 'relaxation']",True,positive
Brimonidine,Rosacea,1,[],False,negative
Contrave,Obesity,3,"['polyuria (frequent urination at night)', 'constipation', 'anxiety', 'nausea/feeling sick when hot', 'appetite suppression', 'nausea from not eating']",True,mixed
Crisaborole,Atopic Dermatitis,5,"['intense stinging', 'burning', 'facial irritation']",False,negative
Dovonex,Psoriasis,3,"['worsened psoriasis', 'pruritus']",False,negative
Plan B,Emergency Contraception,10,[],True,positive
Montelukast,"Asthma, Maintenance",10,[],True,positive
Ortho Tri-Cyclen,Birth Control,5,"['continuous bleeding', 'prolonged bleeding after discontinuation']",False,negative
Kariva,Birth Control,9,"['weight gain', 'nausea', 'breast enlargement']",True,positive
Isotretinoin,Acne,10,[],True,positive
Rogaine Men's Extra Strength,31</span> users found this comment helpful.,1,"['rash', 'chest pain']",False,negative
Levonorgestrel,Birth Control,10,"['discomfort during insertion', 'cramping', 'back pain', 'spotting']",True,positive
Meloxicam,Inflammatory Conditions,1,[],False,negative
Erythromycin,Otitis Media,7,"['stomach cramps', 'stomach pain', 'fatigue', 'lethargy', 'brain fog', 'cognitive cloudiness']",True,mixed
Desogestrel / ethinyl estradiol,Birth Control,1,"['headaches', 'fatigue', 'breast enlargement', 'decreased libido', 'mood swings', 'acne', 'increased appetite']",False,negative
Propranolol,mance Anxiety,10,[],True,positive
Dextromethorphan / guaifenesin / pseudoephedrine,Cough and Nasal Congestion,10,[],True,positive
Hyaluronidase,Hypodermoclysis,10,[],True,positive
Canagliflozin,"Diabetes, Type 2",1,"['severe dehydration', 'insomnia', 'leg cramps', 'foot cramps', 'dry eyes', 'polyuria']",False,negative
Medroxyprogesterone,Abnormal Uterine Bleeding,1,"['slow bleeding', 'heavy bleeding', 'blood clots', 'severe blood loss', 'anemia requiring transfusions']",False,negative
Depo-Provera,Birth Control,5,"['acne (initial worsening)', 'mood changes', 'decreased libido', 'irregular periods (prolonged bleeding)']",True,mixed
MS Contin,Pain,10,[],True,positive
Amitriptyline,Pain,10,[],True,positive
Amlodipine / atorvastatin,High Blood Pressure,9,['edema in ankles and feet'],True,mixed
Tretinoin,Acne,8,[],True,positive
Quetiapine,Obsessive Compulsive Disorde,7,['weight gain'],True,mixed
Acetaminophen / hydrocodone,Pain,10,"['delayed orgasm', 'anorgasmia']",True,positive
Ethinyl estradiol / norgestimate,Birth Control,10,"['vaginal discharge', 'menstrual cramps worsened', 'leg cramps', 'mood changes', 'irritability', 'increased crying', 'decreased libido', 'weak orgasms', 'short orgasm duration']",True,mixed
Fentora,Breakthrough Pain,10,[],True,positive
Norco,Pain,10,[],True,positive
Suprep Bowel Prep Kit,Bowel Preparation,7,"['nausea', 'unpleasant taste', 'frequent bowel movements', 'gag reflex/nearly vomited']",True,mixed
Testosterone,"Hypogonadism, Male",9,"['nausea', 'cramping']",True,positive
Medroxyprogesterone,Abnormal Uterine Bleeding,1,"['abnormal vaginal bleeding', 'spotting', 'prolonged menstrual bleeding', 'irregular bleeding pattern']",False,negative
Toradol,Pain,7,"['constipation', 'upset stomach', 'bloating', 'heartburn', 'reduced urination', 'fear/anxiety about medication']",True,mixed
Microgestin Fe 1 / 20,Birth Control,10,"['weight gain', 'breast tenderness', 'breast enlargement']",True,positive
Safyral,Birth Control,3,"['breakthrough bleeding', 'nausea', 'dizziness', 'fainting', 'severe cramps']",False,negative
Prednisone,Inflammatory Conditions,10,[],True,positive
Etonogestrel,Birth Control,4,"['weight gain', 'arm pain']",False,negative
Fetzima,Depression,1,['vomiting'],False,negative
Linzess,"Constipation, Chronic",10,"['severe abdominal pain', 'stomach cramping', 'excessive sweating', 'diarrhea', 'severe urgency/frequency of bowel movements']",True,negative
Belviq,Weight Loss,10,"['headaches', 'pounding in ears', 'forgetfulness', 'joint soreness']",True,positive
Nexplanon,Birth Control,4,"['constant bleeding', 'heavy menstrual bleeding', 'loss of libido', 'depression', 'weight gain']",False,negative
Levsin,Irritable Bowel Syndrome,1,"['lightheadedness', 'dizziness']",False,negative
Latuda,Bipolar Disorde,2,"['insomnia', 'restlessness', 'irritability', 'argumentativeness', 'muscle aches', 'mobility impairment']",False,negative
Etonogestrel,Birth Control,3,"['prolonged menstruation', 'continuous bleeding']",False,negative
Linaclotide,Irritable Bowel Syndrome,10,[],True,positive
Gardasil,Human Papillomavirus Prophylaxis,10,['arm soreness'],True,positive
Dabigatran,Prevention of Thromboembolism in Atrial Fibrillation,9,"['dark reddish urine', 'increased gas']",True,positive
Mirena,Birth Control,4,"['abnormal bleeding', 'prolonged menstruation', 'heavy menstrual bleeding', 'headaches', 'cramping', 'acne']",False,negative
Quasense,Abnormal Uterine Bleeding,1,"['prolonged heavy period', 'excessive clotting']",False,negative
Glatiramer,Multiple Sclerosis,9,['viral encephalitis'],,negative
Liraglutide,Weight Loss,10,"['nausea', 'fatigue']",True,positive
Implanon,Birth Control,9,"['spot bleeding', 'irregular periods']",True,positive
